ndof h L2-error-u-uh-B 
6.776000000000000000e+03 3.644471480623968918e-02 2.964142461165624631e+00
1.685600000000000000e+04 2.310702282930823456e-02 1.033771363202172222e-01
5.117600000000000000e+04 1.326136064296800331e-02 7.784654674625901376e-03
