k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 8.842093533372364922e-01 3.440192589061202844e-01
2.000000000000000000e+00 1.950023091340805648e+00 6.800166058472166819e-01
3.000000000000000000e+00 3.159668812302522500e+00 1.056455225936412612e+00
4.000000000000000000e+00 4.349820659475432727e+00 1.458748746624666914e+00
5.000000000000000000e+00 5.453576662742071868e+00 1.761021701260626848e+00
6.000000000000000000e+00 6.459481423270872824e+00 2.120275281096090758e+00
7.000000000000000000e+00 7.560009929184981381e+00 2.476971158827492747e+00
8.000000000000000000e+00 8.586002971579834053e+00 2.840117558624815075e+00
9.000000000000000000e+00 9.666898685217281795e+00 3.216260807668948285e+00
1.000000000000000000e+01 1.079882612661666741e+01 3.552105804389301458e+00
