k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.533352002385904189e-01 4.917744993260617647e-01
2.000000000000000000e+00 9.905075792296884618e-01 1.342844228550772900e+00
3.000000000000000000e+00 1.584146055821488375e+00 1.109685702827825304e+00
4.000000000000000000e+00 2.198341002197591099e+00 2.255878281440358180e+00
5.000000000000000000e+00 2.692208182380957382e+00 2.109768328732142262e+00
6.000000000000000000e+00 3.485065502137992155e+00 1.702590730758200221e+00
7.000000000000000000e+00 3.614351947067531157e+00 2.266106255023257354e+00
8.000000000000000000e+00 4.186311701297595889e+00 2.473016831445256081e+00
9.000000000000000000e+00 4.826812661185899245e+00 3.170761356955429822e+00
1.000000000000000000e+01 5.447117167608204191e+00 3.236288551486662612e+00
