L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
1.895776046178104454e-02 1.279252252330458084e-01 6.261332046410849651e-04 2.000090086782215469e-03 1.611563000425461039e-06 5.096209674199358433e-05 2.806305310628333643e-03 1.865568711900619792e-03 8.640000000000000000e+02 4.811252243246881555e-02 0.000000000000000000e+00
4.803947151406526457e-03 6.437934833635919341e-02 1.661186697044227611e-04 1.142343983519042341e-03 2.206710268995865700e-07 6.978230586109777316e-06 1.264658311990185524e-03 5.164946394509135983e-04 3.176000000000000000e+03 2.509428066142477959e-02 1.000000000000000000e+00
1.208183623437492213e-03 3.203455857155638326e-02 4.229236754012955088e-05 5.939106709607961570e-04 2.909238950009081794e-08 9.199821339705423863e-07 6.095458370405747303e-04 1.304865924405586037e-04 1.216800000000000000e+04 1.282051282051282007e-02 2.000000000000000000e+00
3.024937151180202800e-04 1.597888012641291225e-02 1.096803143114408543e-05 3.066873517061123535e-04 3.718227067193391348e-09 1.175806639001912338e-07 3.086230763515530125e-04 3.272246946175613421e-05 4.762400000000000000e+04 6.480403726175149558e-03 3.000000000000000000e+00
7.561701518808755442e-05 7.981093611095290558e-03 3.070973765870311029e-06 1.562648132103010800e-04 4.689559591656607558e-10 1.482968953272412504e-08 1.565089872041940154e-04 8.181694691321784706e-06 1.884240000000000000e+05 3.257968554942978264e-03 4.000000000000000000e+00
