ndof L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.584000000000000000e+03 6.134236737616170082e-02 1.780582635526553492e+00
2.174800000000000000e+04 8.365789723101629133e-03 7.541578413408643877e-01
8.582800000000000000e+04 1.426463679251466698e-03 2.369915852528832467e-01
3.409960000000000000e+05 3.131446829295943409e-04 1.994965547768681735e-01
