gamma-Jump l2-order1 s-order1 cond-order1 l2-order2 s-order2 cond-order2 l2-order3 s-order3 cond-order3 
9.999999999999999799e-13 1.236421867495501870e+00 4.281834182336682892e-02 nan 3.900967788336224262e-01 2.440726810443161632e-03 nan 1.116651177692807306e-01 4.532783430479692013e-04 nan
9.999999999999999395e-12 1.148666240448010578e+00 4.281116223996702524e-02 nan 2.992046747611354363e-01 2.440561714771834981e-03 nan 7.889891191980819007e-02 4.605209846841641923e-04 nan
1.000000000000000036e-10 7.346930695045567061e-01 4.277924807564736920e-02 nan 1.848170583339464879e-01 2.440870570364615712e-03 nan 2.510561703286378829e-02 4.080745191793998532e-04 nan
1.000000000000000062e-09 3.789941567523920640e-01 4.273861971630008028e-02 nan 8.645339048607479648e-02 2.444265547695811600e-03 nan 1.023200867259215982e-02 3.940981462246771218e-04 nan
1.000000000000000021e-08 3.463252160517004685e-01 4.276212655692673142e-02 nan 3.992788049775684162e-02 2.478234198067503537e-03 nan 2.021053386189862466e-02 1.723727155674362058e-03 nan
9.999999999999999547e-08 2.222192846005654754e-01 4.313164222284529559e-02 nan 3.298303486606047469e-02 2.803069602176011792e-03 nan 2.890309527559978275e-02 7.501403007670333356e-03 nan
9.999999999999999547e-07 1.774019476146386221e-01 4.717540305854720645e-02 nan 3.728467061236639957e-02 5.143348635059268037e-03 nan 3.421923672275921369e-02 2.810569495944780644e-02 nan
1.000000000000000082e-05 1.812514199823450634e-01 8.382269578459357329e-02 nan 4.029831217443433783e-02 1.506406222640701079e-02 nan 3.566632572480588070e-02 9.450199954009452785e-02 nan
1.000000000000000048e-04 2.189841096394013753e-01 2.755452477787930232e-01 nan 6.500700140505742686e-02 5.013166494677665647e-02 nan 3.382301418902692453e-02 2.828917818413360097e-01 nan
1.000000000000000021e-03 3.166993602643389805e-01 9.427186586813072200e-01 nan 1.015563623920375386e-01 1.842299553866685868e-01 nan 5.230049993066637759e-02 9.323198852822198734e-01 nan
1.000000000000000021e-02 4.997431033559033287e-01 3.453235491932509227e+00 nan 2.147717782434034051e-01 7.500991188497998508e-01 nan 7.625262105322520856e-02 3.523189942627163784e+00 nan
1.000000000000000056e-01 5.853283005022456020e-01 1.796542980777096687e+01 nan 3.732449143958774807e-01 3.614495745812831728e+00 nan 1.365392495474244960e-01 1.428423419394702698e+01 nan
1.000000000000000000e+00 7.699785708238116033e-01 9.452200973984338361e+01 nan 6.392883444845067764e-01 1.425918795531832828e+01 nan 2.140934219040297182e-01 5.891042225135282706e+01 nan
1.000000000000000000e+01 9.669725449029454856e-01 3.497802202816173462e+02 nan 1.358077615892328227e+00 4.892686550368345877e+01 nan 2.762699367302418607e-01 2.274873015553568507e+02 nan
