k k-norm-order1 
1.000000000000000000e+00 3.918597753528266781e-01
2.000000000000000000e+00 7.434852319434520629e-01
3.000000000000000000e+00 1.092892572039486199e+00
4.000000000000000000e+00 1.472331471446543860e+00
5.000000000000000000e+00 1.776503443333275367e+00
6.000000000000000000e+00 2.158792340260062836e+00
7.000000000000000000e+00 2.493806008291297616e+00
8.000000000000000000e+00 2.861752099262423688e+00
9.000000000000000000e+00 3.215261592892304954e+00
1.000000000000000000e+01 3.590285255459982228e+00
