L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
1.851525956517843596e+01 4.768052847005911588e+00 8.809589419518528075e+01 6.182455248534833581e-02 8.597261443931398794e-01 2.226256427000606608e-01 6.028664705995525480e-02 7.372354493765779004e+00 7.318159796458671096e+00 7.920000000000000000e+02 1.541893967219279959e-01 0.000000000000000000e+00
4.537091661670641685e+01 1.320012154227107892e+01 2.438891823577498315e+02 1.088284822058093043e-01 1.559807271425176500e+00 2.932875646081326004e-01 7.882114297148644366e-02 1.440647230706991344e+01 1.431814833013365273e+01 2.888000000000000000e+03 7.709469836096399797e-02 1.000000000000000000e+00
1.146773410368122939e+02 3.662690234626182217e+01 6.767290162382950029e+02 2.269195192555051033e-01 2.870078418839416390e+00 3.760236129597118171e-01 1.015120535391791645e-01 2.911544241589886184e+01 2.897013023823846467e+01 1.101600000000000000e+04 3.854734918048200593e-02 2.000000000000000000e+00
2.710098324204424216e+02 9.213724597002112660e+01 1.702353839119094800e+03 3.555513867048717414e-01 4.447189149539770625e+00 4.619533538264878336e-01 1.237353278427753694e-01 5.770103631824419921e+01 5.752631548036512044e+01 4.301600000000000000e+04 1.927367459024103072e-02 3.000000000000000000e+00
6.604736936371576803e+02 2.552011809781766374e+02 4.715169263115097237e+03 5.700693439748537594e-01 7.242282063867753195e+00 5.874383055824712319e-01 1.569520696800271176e-01 1.154757285836064966e+02 1.152453840535496283e+02 1.699920000000000000e+05 9.636837295120522298e-03 4.000000000000000000e+00
1.550359419206989742e+03 6.888336829750093102e+02 1.272708612441623518e+04 9.854304946129452958e-01 1.112716012779264219e+01 7.268812708626514185e-01 1.932850609560532174e-01 2.309337599522980895e+02 2.306622010742975135e+02 6.758480000000000000e+05 4.818418647560273292e-03 5.000000000000000000e+00
