k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.519962042147331882e-01 3.184545278620815739e-02
2.000000000000000000e+00 9.882721938035929909e-01 6.015907724102701609e-02
3.000000000000000000e+00 1.580857307587450578e+00 1.016270976895367606e-01
4.000000000000000000e+00 2.197965324606677484e+00 1.897423896852225289e-01
5.000000000000000000e+00 2.690958346607516205e+00 3.294202388746555465e-01
6.000000000000000000e+00 3.484124413374010576e+00 3.286614248435957286e-01
7.000000000000000000e+00 3.610685972180500691e+00 7.256126965172960963e-01
8.000000000000000000e+00 4.180816287660375608e+00 8.882105307104467551e-01
9.000000000000000000e+00 4.822802796173400353e+00 6.465311671954087069e-01
1.000000000000000000e+01 5.444081812113576113e+00 9.190372628126124432e-01
