k k-norm-order2 
1.000000000000000000e+00 2.061447318450754934e-02
2.000000000000000000e+00 3.567262407849328826e-02
3.000000000000000000e+00 5.329204918293919263e-02
4.000000000000000000e+00 7.224559992714847667e-02
5.000000000000000000e+00 8.548373338476063232e-02
6.000000000000000000e+00 1.053905310830856729e-01
7.000000000000000000e+00 1.195745933161478508e-01
8.000000000000000000e+00 1.366028799356945600e-01
9.000000000000000000e+00 1.540826770613943630e-01
1.000000000000000000e+01 1.744320443163391021e-01
