k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.519975221160091317e-01 4.315124039586446664e-02
2.000000000000000000e+00 9.882743857002536103e-01 9.068941437031353969e-02
3.000000000000000000e+00 1.580860532270154550e+00 1.944519325652023789e-01
4.000000000000000000e+00 2.197965630555560601e+00 4.131757751920637212e-01
5.000000000000000000e+00 2.690959520517992587e+00 6.640850777912976621e-01
6.000000000000000000e+00 3.484125275640489683e+00 3.770431214623054528e-01
7.000000000000000000e+00 3.610689515337996536e+00 1.066886338718685767e+00
8.000000000000000000e+00 4.180821685296837842e+00 1.103076516060666146e+00
9.000000000000000000e+00 4.822806690767047932e+00 1.064647085372135926e+00
1.000000000000000000e+01 5.444084713399608866e+00 1.327789632639808648e+00
