L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
2.062202252272050951e-02 1.370507154250704684e-01 4.198318302575402283e-01 1.052126015750655570e-03 7.272062531433015793e-03 5.148089216704523623e-06 5.148089216704521251e-05 7.612287153451875905e-03 1.988561366273682192e-03 7.920000000000000000e+02 5.025189076296060486e-02 0.000000000000000000e+00
5.401320040734814212e-03 6.961105547991743026e-02 2.132417677474362783e-01 4.669162026019970280e-04 3.831597721136489453e-03 6.915373171209958165e-07 6.915373171209957529e-06 3.899407019158727256e-03 5.533307903811087499e-04 2.888000000000000000e+03 2.631578947368420907e-02 1.000000000000000000e+00
1.365173628697514529e-03 3.482263657623536207e-02 1.066732939178784145e-01 1.855023649690413037e-04 1.991662782842352954e-03 8.985573649637081234e-08 8.985573649637057940e-07 2.005483297729124953e-03 1.443283548809478614e-04 1.101600000000000000e+04 1.347420139090738621e-02 2.000000000000000000e+00
3.425594225490143172e-04 1.740664432384965085e-02 5.332232905503772602e-02 7.713577763283685279e-05 1.038287941797877466e-03 1.142491942767745719e-08 1.142491942767753693e-07 1.041797515614219629e-03 3.674604853120971452e-05 4.301600000000000000e+04 6.818674922008056104e-03 3.000000000000000000e+00
8.572429137938122955e-05 8.701812909801034598e-03 2.665654118732305872e-02 3.451312335563402287e-05 5.324429814570702871e-04 1.436771605034062271e-09 1.436771605034071867e-08 5.336405075136313198e-04 9.246992173411435270e-06 1.699920000000000000e+05 3.430052410915245681e-03 4.000000000000000000e+00
