ndof L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
2.548000000000000000e+03 2.789855454318653297e-02 2.252861101342586991e-01
9.796000000000000000e+03 1.380462839036144911e-02 1.702839835427205906e-01
3.840400000000000000e+04 5.390581128228879096e-03 9.863079395425990159e-02
1.520680000000000000e+05 1.845548979810016131e-03 6.143369862392770303e-02
6.051880000000000000e+05 5.515366571975572653e-04 4.937968612649370342e-02
