L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
1.778264188412074931e-05 3.597191060595084414e-04 1.101939017298581317e-03 6.926785564940556277e-05 5.361033381417118694e-05 1.820394537737341878e-04 2.529863099253750681e-09 2.020486850002038313e-04 3.633821093302815984e-06 6.296000000000000000e+03 5.346922543496392816e-02 0.000000000000000000e+00
1.138682334219548477e-06 4.599092481510919642e-05 1.408854676933128875e-04 8.382138476324189994e-06 7.128580472848545877e-06 2.430497416628709664e-05 2.067771984902385294e-11 2.668055369419923648e-05 2.080173324173047996e-07 2.439200000000000000e+04 2.716517748562517071e-02 1.000000000000000000e+00
7.079627723960357782e-08 5.741943094831653235e-06 1.758947752487865533e-05 9.540915460263765386e-07 8.824020634909176176e-07 2.952515816503303471e-06 1.599011620355182142e-13 3.225898875296463381e-06 1.224038744337327679e-08 9.600800000000000000e+04 1.369249342895496185e-02 2.000000000000000000e+00
4.404441122443175306e-09 7.168285116015208105e-07 2.195883655718647863e-06 1.116149913372029074e-07 1.103393679625043440e-07 3.674621874108943346e-07 1.239540692445382718e-15 3.995768876889714829e-07 7.399897545555197609e-10 3.809360000000000000e+05 6.874011335266258516e-03 3.000000000000000000e+00
