ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm 
7.120000000000000000e+02 3.747658444979307113e-02 5.032318368832474631e-01 1.763691288821627845e+00 6.267603662390572872e-01
2.616000000000000000e+03 1.955154717514437715e-02 1.901109547898910956e-01 7.624086546421507959e-01 2.942183383652931528e-01
1.002400000000000000e+04 9.988021556890524719e-03 9.598735690339360582e-02 4.162943435629896105e-01 1.363425280964220554e-01
3.924000000000000000e+04 5.048187773461522247e-03 4.987026676862692243e-02 2.241423511770652965e-01 6.209538009757063770e-02
1.552720000000000000e+05 2.537776821518587366e-03 1.851148736250047069e-02 1.028409961833689629e-01 2.784890674228326229e-02
6.177360000000000000e+05 1.272326416356358517e-03 4.586573813560820313e-03 7.947061923862026867e-02 1.290897494701307747e-02
