L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
1.199624014024837964e-05 3.079902237355350465e-04 7.818024081064301129e-04 1.811944678963721516e-06 8.928617511899792134e-06 5.811598115690390739e-05 1.641554346000211496e-09 5.890428750934532834e-05 3.040471059864994378e-06 6.944000000000000000e+03 5.091331749765980186e-02 0.000000000000000000e+00
7.593138941192095955e-07 3.912319278416858428e-05 9.931031563436636372e-05 2.585036252714514671e-07 1.172093214868649990e-06 7.322589602245151841e-06 1.416927734955385487e-11 7.423209986575596943e-06 2.076087499757251039e-07 2.698400000000000000e+04 2.582754271402004989e-02 1.000000000000000000e+00
4.683023803031696972e-08 4.862649944609595793e-06 1.234335100109780761e-05 3.210521534308371487e-08 1.450419702601244862e-07 8.812003768026038624e-07 1.084071133638134210e-13 8.937263877176092968e-07 1.283877083443543932e-08 1.063760000000000000e+05 1.300811670643280647e-02 2.000000000000000000e+00
