gamma-Jump l2-order1 s-order1 l2-order2 s-order2 l2-order3 s-order3 
9.999999999999999988e-15 8.569561753127326320e-02 6.359336715028055149e-03 2.200129834378185961e-02 6.062263911540560101e-05 4.976019950820723733e-04 6.633403970581390821e-04
1.000000000000000030e-13 8.569561748544271551e-02 6.359336714272956909e-03 2.200129834378185961e-02 6.062263911540696982e-05 4.976019950820723733e-04 6.633403970581390821e-04
9.999999999999999799e-13 8.569561751590931697e-02 6.359336714793885695e-03 2.200129834883718383e-02 6.062264734114317663e-05 4.976019950820723733e-04 6.633403970581390821e-04
9.999999999999999395e-12 8.569561750267123967e-02 6.359336714820086958e-03 2.200133184679765527e-02 6.062266793809454685e-05 4.976019950820723733e-04 6.633403970581390821e-04
1.000000000000000036e-10 8.569561750001564171e-02 6.359336714610658997e-03 2.200129478661569729e-02 6.062264397111474497e-05 4.976019950820723733e-04 6.633403970581390821e-04
1.000000000000000062e-09 8.569561740376535619e-02 6.359336713424458554e-03 2.200131128914953327e-02 6.062266561431283617e-05 4.908410683587855362e-04 6.586915981451351874e-04
1.000000000000000021e-08 8.569561705795339379e-02 6.359336708117902144e-03 2.200126715753544793e-02 6.062262476412825271e-05 4.975920298876263794e-04 6.747012898424142738e-04
9.999999999999999547e-08 8.569561354903097727e-02 6.359336654333171135e-03 2.200129199846934808e-02 6.062264499509662218e-05 5.002378627201036366e-04 6.719560526126126462e-04
9.999999999999999547e-07 8.569557794122960315e-02 6.359336109495915962e-03 2.200130717478042744e-02 6.062267984678024755e-05 5.113807424666821835e-04 6.804904626196038239e-04
1.000000000000000082e-05 8.569522214986519115e-02 6.359330664160695902e-03 2.200103706406863688e-02 6.062264943425769027e-05 5.154576785670010727e-04 6.820427992179048556e-04
1.000000000000000048e-04 8.569167742508342067e-02 6.359276264281734162e-03 2.199861403671327098e-02 6.062257324980350505e-05 4.830590472862374639e-04 6.423175197554900542e-04
1.000000000000000021e-03 8.565753518562892188e-02 6.358737557368294470e-03 2.197437215711028555e-02 6.062165697568811309e-05 5.036461358445414082e-04 6.489789029933734675e-04
1.000000000000000021e-02 8.543667305574512150e-02 6.353860945144737017e-03 2.173617773905606523e-02 6.061454271504868204e-05 5.375702124379589525e-04 6.784532952548986322e-04
1.000000000000000056e-01 8.920672159523221345e-02 6.343346891709586086e-03 1.972607830325283709e-02 6.068863626675752141e-05 6.453936520089511349e-04 6.927517887159505370e-04
1.000000000000000000e+00 1.243993350083954508e-01 7.503817093989782402e-03 1.376938767191190037e-02 6.823678320991336226e-05 3.625547308760451032e-03 4.305838596731775304e-03
1.000000000000000000e+01 2.127294364015226147e-01 2.716218016136257365e-02 2.518735895072177905e-02 2.067447157024533547e-04 8.690191776514134131e-03 1.010370046526137822e-02
