ndof h L2-error-u-uh-B 
6.800000000000000000e+02 3.834824944236851774e-02 8.648399812362244532e+00
2.184000000000000000e+03 2.139802462554564466e-02 5.923448668067939238e+00
5.472000000000000000e+03 1.351845176089687926e-02 3.137159552746782598e+00
2.150400000000000000e+04 6.819309069874762187e-03 3.380474571297206854e+00
8.115200000000000000e+04 3.510349726885814842e-03 1.428745678547952647e+00
