ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.720000000000000000e+03 3.966644140109588240e-02 2.502050736906799577e-01 2.250950037989135274e-02 2.676907396613904533e-01
2.223200000000000000e+04 2.012018584341396243e-02 2.001510666715368425e-02 1.386654416336987857e-03 2.141836179260673753e-02
8.765600000000000000e+04 1.013282239176588155e-02 1.319171789901683010e-02 2.160157741917465024e-04 1.412065943290075412e-02
3.481040000000000000e+05 5.084716548681748882e-03 1.170567461180765240e-02 5.608006541434756853e-05 1.253016665854995298e-02
