k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 6.902460514158952343e-01 nan
2.000000000000000000e+00 1.397424849856523599e+00 5.426091689872203361e-01
3.000000000000000000e+00 2.193762216216927463e+00 7.926877036646898800e-01
4.000000000000000000e+00 2.665290388505862307e+00 1.198898396690728285e+00
5.000000000000000000e+00 3.281506243605121664e+00 1.772300151707274507e+00
6.000000000000000000e+00 4.086082084362555378e+00 1.791157719576109475e+00
7.000000000000000000e+00 4.571904515719780626e+00 2.507000649636759171e+00
8.000000000000000000e+00 5.286745576833790317e+00 3.619423488905282760e+00
9.000000000000000000e+00 5.909601132882286834e+00 1.988354690736776398e+00
1.000000000000000000e+01 6.573871990267706522e+00 2.724423797445512108e+00
