ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
2.640000000000000000e+03 3.892494720807614800e-02 1.603425502949119841e-01 3.411751605177656965e-01
1.010400000000000000e+04 1.989680423298347337e-02 2.585287504549879656e-02 9.267386053686831049e-02
3.952800000000000000e+04 1.005952733805761355e-02 3.567130565747291416e-03 2.348784487021173331e-02
1.563600000000000000e+05 5.057864201305102385e-03 4.772510669506224430e-04 5.349703856024825600e-03
6.219600000000000000e+05 2.535997191333945987e-03 6.208739515906934263e-05 1.322200874794246962e-03
