ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
6.640000000000000000e+02 3.880752628531664028e-02 2.398873243734938113e-02 3.087117143549371334e-02 1.647679901599139254e-02
1.824000000000000000e+03 2.341464528954234972e-02 6.316578826636996477e-03 8.543033941041403012e-03 3.641930751694266982e-03
6.048000000000000000e+03 1.285861249684099213e-02 1.738654052464326570e-03 2.383101464983570627e-03 9.404349261007947675e-04
2.157600000000000000e+04 6.807921404144805060e-03 4.505083531965689602e-04 6.104629488949145583e-04 2.575455537254141823e-04
8.123200000000000000e+04 3.508620745976671115e-03 1.201294583331550674e-04 1.615228168720542006e-04 7.102832772004615350e-05
3.145040000000000000e+05 1.783146039528325918e-03 2.862651360655341223e-05 3.892913730316012650e-05 1.609784369256744764e-05
