ndof L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
6.880000000000000000e+02 2.169418527537166075e-01 7.069807985239168202e-01
2.548000000000000000e+03 8.463919341610502689e-02 7.563370635782512563e-01
9.796000000000000000e+03 2.800163606603684949e-02 5.765880868813547666e-01
3.840400000000000000e+04 1.477231076990449983e-02 4.788453405719297895e-01
1.520680000000000000e+05 1.127118136398343011e-02 3.984975785397831816e-01
6.051880000000000000e+05 8.512559990450764211e-03 3.301455040596054102e-01
