L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl cond 
9.438394214164615159e-02 2.372130070184708950e-01 6.021415156360722110e-01 6.392587271951843291e-05 5.820970740392478844e-04 2.736918795822231108e-03 2.642788493053362976e-04 2.879344222575780550e-03 6.221991852753880597e-04 3.176000000000000000e+03 5.018856132284955918e-02 0.000000000000000000e+00 7.813909105543174744e+08
5.223722259572418508e-02 1.429837801480408621e-01 3.629500387515099957e-01 1.978252444266210305e-05 1.243551751312329048e-04 5.802376763585890846e-04 4.133444034753134134e-05 6.252863891467388838e-04 1.916851939302157770e-04 1.216800000000000000e+04 2.564102564102564014e-02 1.000000000000000000e+00 1.862434431774880219e+10
3.051353637003596450e-02 1.020006882621171257e-01 2.589185550912511125e-01 5.027803298640417321e-06 2.829779364399530718e-05 1.217240521721313904e-04 6.054937828029017486e-06 1.312212795915871017e-04 3.923739462834466805e-05 4.762400000000000000e+04 1.296080745235029912e-02 2.000000000000000000e+00 3.815260561887684937e+11
2.307135261283262129e-02 7.828107228897221437e-02 1.987086800431157319e-01 1.189417551290293890e-06 6.172667306152674286e-06 2.602864952165036426e-05 1.110010948540101317e-06 2.822503595823668151e-05 8.855134038127342245e-06 1.884240000000000000e+05 6.515937109885956528e-03 3.000000000000000000e+00 8.321104258999927734e+12
1.326475836242236271e-02 4.765715968070455971e-02 1.209729378744188316e-01 2.682241135002571225e-07 1.204937848580648673e-06 5.202270590465910875e-06 1.700119116084172499e-07 5.779451069973892814e-06 2.187627008816156645e-06 7.495760000000000000e+05 3.266909900793542754e-03 4.000000000000000000e+00 2.771553276231701250e+14
