ndof h L2-error-u-uh-B 
5.600000000000000000e+03 4.008918628686365671e-02 1.119105302025862869e+01
1.620800000000000000e+04 2.356440838525105871e-02 2.526148520861156488e+00
5.208800000000000000e+04 1.314475250840204182e-02 4.946042438617279657e-01
