ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
2.640000000000000000e+03 3.892494720807614800e-02 7.723306853463682287e-02 2.702856584237770324e-02 1.197855175750524720e-01
1.010400000000000000e+04 1.989680423298347337e-02 9.782644405950413971e-03 3.182842062588709352e-03 1.525620507462652903e-02
3.952800000000000000e+04 1.005952733805761355e-02 1.168055363333998613e-03 3.813675874109954652e-04 1.821156265427586150e-03
1.563600000000000000e+05 5.057864201305102385e-03 1.414584755875681200e-04 4.669492660959817065e-05 2.203811550786970250e-04
