k k-norm-order1 
1.000000000000000000e+00 4.237394918785001297e-01
2.000000000000000000e+00 8.261426879721116556e-01
3.000000000000000000e+00 1.223492897112342437e+00
4.000000000000000000e+00 1.673106449059560186e+00
5.000000000000000000e+00 2.008984370476033732e+00
6.000000000000000000e+00 2.459579508218639798e+00
7.000000000000000000e+00 2.822562884791186999e+00
8.000000000000000000e+00 3.243281978667030163e+00
9.000000000000000000e+00 3.665730499756194583e+00
1.000000000000000000e+01 4.081326282579018638e+00
