L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl cond 
nan nan nan nan nan inf inf nan nan 8.640000000000000000e+02 4.811252243246881555e-02 0.000000000000000000e+00 4.369951721468578762e+04
nan nan nan nan nan inf inf nan nan 3.176000000000000000e+03 2.509428066142477959e-02 1.000000000000000000e+00 1.084233948889538005e+05
9.485794120263857376e-01 9.107479827779186854e-01 7.522288000052330403e+01 2.376207393416085705e-03 1.660986339121085231e-01 1.185347085042696443e-04 1.185347085042695115e-03 1.883318720427371029e-01 8.873033517285729144e-02 1.216800000000000000e+04 1.282051282051282007e-02 2.000000000000000000e+00 3.188842225423501222e+05
3.657534510312924203e-01 5.323983922054721374e-01 4.397324066604274151e+01 8.096821674693662190e-04 1.084066391209312641e-01 3.099572275468603965e-05 3.099572275468626191e-04 1.137304787109708337e-01 3.437833275335945571e-02 4.762400000000000000e+04 6.480403726175149558e-03 3.000000000000000000e+00 2.245886115059184376e+06
1.422554185226758416e-01 2.751042851781102527e-01 2.272213274402112404e+01 3.273147916425037649e-04 5.813633098453305226e-02 1.624262809677907675e-05 1.624262809677905575e-04 5.920221101011094444e-02 1.117743383116084378e-02 1.884240000000000000e+05 3.257968554942978264e-03 4.000000000000000000e+00 5.457310553389851004e+06
9.766251966510586247e-02 1.392195998624915498e-01 1.149878936490209291e+01 1.064425901177415868e-04 2.996256169047203585e-02 8.199115207373520127e-06 8.199115207373641084e-05 3.011541228983764459e-02 3.027347771905675774e-03 7.495760000000000000e+05 1.633454950396771377e-03 5.000000000000000000e+00 2.070052253422344103e+07
