ndof h L2-error-u-uh-B 
3.080000000000000000e+03 3.603749850782235475e-02 1.593131413670457075e+00
7.624000000000000000e+03 2.290543541756880769e-02 1.392647753638232233e+00
2.300000000000000000e+04 1.318760946791573858e-02 1.328347104728114791e+00
8.517600000000000000e+04 6.852852356728830058e-03 1.397379703950490271e+00
