ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm cond 
5.768000000000000000e+03 3.950104898622924798e-02 1.139936305280916072e-02 2.377309844321142396e-01 1.503078930645241007e+00 3.783960942248426437e+09
2.240000000000000000e+04 2.004459314343182835e-02 1.874806234442306409e-03 1.225393784619794313e-01 6.106154061648897402e-01 1.399340329987369690e+11
8.828000000000000000e+04 1.009694736894637887e-02 3.180958675698327158e-04 7.636779944593853620e-02 2.085614965399427145e-01 9.275655740814642578e+12
3.505040000000000000e+05 5.067278400416535579e-03 5.199610293293745726e-05 3.029951562030631582e-02 8.961187279039425913e-02 1.825323493431471875e+14
