ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm 
7.120000000000000000e+02 3.747658444979307113e-02 7.076645826839422782e-01 1.437664508639158845e+00 6.519580025744784457e-01
2.616000000000000000e+03 1.955154717514437715e-02 2.359412057197027568e-01 1.041985005245147811e+00 3.813505503393745388e-01
1.002400000000000000e+04 9.988021556890524719e-03 1.219979459573943409e-01 1.147162281035707387e+00 1.874286654198921431e-01
3.924000000000000000e+04 5.048187773461522247e-03 1.032323448060432913e-01 1.103868774801522346e+00 8.684435329698016182e-02
1.552720000000000000e+05 2.537776821518587366e-03 8.393837567119379062e-02 9.279945808133278629e-01 3.980579302139527348e-02
6.177360000000000000e+05 1.272326416356358517e-03 6.288651568372548295e-02 7.188574549426269833e-01 1.866264071122890680e-02
