ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm cond 
2.640000000000000000e+03 3.892494720807614800e-02 6.643330421382562245e-02 1.283489316437518291e+00 6.179096081314313510e-02 6.309785393266586959e+07
1.010400000000000000e+04 1.989680423298347337e-02 2.868551660553743388e-02 6.265353421016729429e-01 1.247476573282383511e-02 1.019147036902758241e+09
3.952800000000000000e+04 1.005952733805761355e-02 1.125048344437076450e-02 2.851784705310035917e-01 2.550173243401085508e-03 1.883313212279296112e+10
1.563600000000000000e+05 5.057864201305102385e-03 3.965746131397595090e-03 1.565274462021046809e-01 5.431923805405996413e-04 4.248512920678334961e+11
6.219600000000000000e+05 2.535997191333945987e-03 1.019165451537835379e-03 1.006286400593964514e-01 1.197043139699844558e-04 1.212073620824540234e+13
