k l2-order1 h1-semi-order1 l2-order2 h1-semi-order2 
1.000000000000000000e+00 1.149807708334854295e-01 4.650241461526908315e-01 2.156159595054022923e-03 1.365709863674358440e-02
2.000000000000000000e+00 4.061409382729818524e-02 5.828015120055501930e-01 2.753781586721132466e-03 2.814686961792363037e-02
3.000000000000000000e+00 5.619808682978302133e-02 8.574637211409806836e-01 6.958857720430878732e-03 6.945492557292523572e-02
4.000000000000000000e+00 6.300698372686742987e-02 1.196036644350821465e+00 1.468118613067708085e-02 1.807182195135711711e-01
5.000000000000000000e+00 9.777549251803321906e-02 1.636578720833536060e+00 1.798270192574915119e-02 2.681922394972500734e-01
6.000000000000000000e+00 1.235475647674985356e-01 2.105613351274812750e+00 2.002022657954235368e-02 3.313078780550265945e-01
7.000000000000000000e+00 9.328911775879025758e-02 2.240898589845417899e+00 2.648153499222725277e-02 4.709504358522309531e-01
