ndof h L2-error-u-uh-B 
2.560000000000000000e+03 3.952847075210474265e-02 6.637127374375428879e+00
7.304000000000000000e+03 2.340181886004544937e-02 7.384131533923680157e-01
2.253600000000000000e+04 1.332267944962385944e-02 1.170002398371279839e-01
8.596000000000000000e+04 6.821529981534318887e-03 1.607035776090951634e-02
3.236800000000000000e+05 3.515378262748216406e-03 2.237579670088729687e-03
