ndof h L2-error-u-uh-B 
6.560000000000000000e+02 3.904344047215151797e-02 8.231110545041454563e-01
1.864000000000000000e+03 2.316205273060397557e-02 3.275827307258715737e-01
5.872000000000000000e+03 1.304989377429701357e-02 1.616196027114480405e-01
2.308800000000000000e+04 6.581226581158204809e-03 1.711756192099531393e-01
8.636000000000000000e+04 3.402856876739856172e-03 1.207820354223204107e-01
