k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 1.335405445809872971e+00 1.442606764099567007e+00
2.000000000000000000e+00 2.609886725590433887e+00 3.391919053593187350e+00
3.000000000000000000e+00 3.938381125398231042e+00 6.729703498903337966e+00
4.000000000000000000e+00 4.405193194957615077e+00 1.416289658970749521e+01
5.000000000000000000e+00 5.483901296155131000e+00 1.024294196682700075e+01
6.000000000000000000e+00 6.490546637160455212e+00 4.276564183984809375e+01
7.000000000000000000e+00 7.605310946931549410e+00 1.382611052723408740e+01
8.000000000000000000e+00 8.698082084072011000e+00 3.125612081155401611e+01
9.000000000000000000e+00 9.693135472409887043e+00 5.279293302673450938e+01
1.000000000000000000e+01 1.077806042358012029e+01 2.045495818677145650e+01
