L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
8.600470416215220959e-03 2.788963615532693077e-02 1.643750374485319616e-06 1.850000467384177883e-03 1.804640787046491932e-02 3.443226173346782373e-06 1.814098612366462845e-02 4.921866614538954848e-06 6.944000000000000000e+03 5.091331749765980186e-02 0.000000000000000000e+00
3.193352077179965540e-03 1.068719018372017888e-02 2.381586116020531787e-07 4.923925083160988732e-04 3.878244770885473820e-03 1.856105952540043692e-07 3.909377633045135747e-03 7.081217599244358691e-07 2.698400000000000000e+04 2.582754271402004989e-02 1.000000000000000000e+00
4.948831325194373706e-04 1.904313256559723262e-03 3.060226824929604148e-08 7.669316604802100135e-05 5.254543892899927798e-04 3.621894806475835788e-09 5.310218072642246614e-04 4.356555801053961032e-08 1.063760000000000000e+05 1.300811670643280647e-02 2.000000000000000000e+00
