ndof L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.584000000000000000e+03 2.198233151363374049e-03 1.407561158831174275e-01
2.174800000000000000e+04 5.591387982652902804e-04 5.346121342182384023e-02
8.582800000000000000e+04 1.057895691965610592e-04 3.731060771985102165e-02
3.409960000000000000e+05 2.249990680351383532e-05 2.563810064896204083e-02
