ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm 
2.616000000000000000e+03 3.910309435028875430e-02 1.109974851660459720e-02 1.182504762581037955e-01 2.479304597345163494e-02
1.002400000000000000e+04 1.997604311378104944e-02 6.724254871165589141e-03 8.117393187036361923e-02 5.277676279101474813e-03
3.924000000000000000e+04 1.009637554692304449e-02 2.329492947410701821e-03 4.035373809315359606e-02 1.060865349645013058e-03
1.552720000000000000e+05 5.075553643037174732e-03 6.512395248715516748e-04 1.804006551616859147e-02 2.124510374002324905e-04
6.177360000000000000e+05 2.544652832712717035e-03 1.534076644161485811e-04 7.014918695158945360e-03 4.279994493402637206e-05
