gamma-Jump l2-order1 s-order1 cond1 l2-order2 s-order2 cond2 l2-order3 s-order3 cond3 
1.000000000000000036e-10 4.188153029501543445e-01 1.711669015088753895e-02 2.494697454734376431e+09 2.568465256834636112e-01 8.199198824372080571e-04 4.901786931753727539e+12 1.180762605263245280e-01 3.881609005990390576e-02 1.658079006083053250e+15
1.000000000000000062e-09 4.188152981834211697e-01 1.711669014695691229e-02 2.494697374957744598e+09 2.568486133033168195e-01 8.199202018071625846e-04 4.901786470511805664e+12 1.180762605263245280e-01 3.881609005990390576e-02 1.658079006083086500e+15
1.000000000000000021e-08 4.188152247741291911e-01 1.711669007843895363e-02 2.494696577228334904e+09 2.568440887541685314e-01 8.199196932397788493e-04 4.901787599796870117e+12 1.179418457895403394e-01 3.878800390576090523e-02 1.656174275694817250e+15
9.999999999999999547e-08 4.188145128196140710e-01 1.711668941242014408e-02 2.494688599481693268e+09 2.568500963733139630e-01 8.199200086230980277e-04 4.901769527377813477e+12 1.183630464115427855e-01 3.884553173851481439e-02 1.657006601133968250e+15
9.999999999999999547e-07 4.188074018751713479e-01 1.711668277371590149e-02 2.494608825091325760e+09 2.568399197392856048e-01 8.199195258080170350e-04 4.901661041536688477e+12 1.178332174424172180e-01 3.869919169330519881e-02 1.658154608343593500e+15
1.000000000000000082e-05 4.187363097540129919e-01 1.711661638367157137e-02 2.493811363543218613e+09 2.568116453486688489e-01 8.199179306312041286e-04 4.901137147660056641e+12 1.158588196341452520e-01 3.820097533297088510e-02 1.656437973266984750e+15
1.000000000000000048e-04 4.180275108473566759e-01 1.711595307918879760e-02 2.485864896924438953e+09 2.565369123118134698e-01 8.199031553565303476e-04 4.895457643152474609e+12 1.156353210396004055e-01 3.807477506316937071e-02 1.656998116790812500e+15
1.000000000000000021e-03 4.111445305656248883e-01 1.710937847261645092e-02 2.409117924106285095e+09 2.537374489558953394e-01 8.197507067253485477e-04 4.838931459531517578e+12 1.172028267693678155e-01 3.851650956251063962e-02 1.654691760471143750e+15
1.000000000000000021e-02 3.576997684483799733e-01 1.704864156719865589e-02 1.841867855168442488e+09 2.290819575437842703e-01 8.183705176521303753e-04 4.338725545824482910e+12 1.126577045548414618e-01 3.736610500794315670e-02 1.634518630531110000e+15
1.000000000000000056e-01 2.004081461567941980e-01 1.665631270114972459e-02 5.581173581243714094e+08 1.233637721667551201e-01 8.111230003783777417e-04 2.142520866464936279e+12 6.479438860794949073e-02 2.590618066924321380e-02 1.434084347776100500e+15
1.000000000000000000e+00 1.234176582585965048e-01 1.628951497421160174e-02 7.950524557020807266e+07 9.649009855053213014e-02 8.126804482641455073e-04 3.735906416789085083e+11 6.442582057317046418e-02 2.620560203514642195e-02 7.134593543684645000e+14
1.000000000000000000e+01 2.167556457233455469e-01 3.431396815793971017e-02 1.056845252886293642e+07 1.639245780709739364e-01 1.115001015016287055e-03 4.678059813633039093e+10 1.115011872900625728e-01 2.980659572537033147e-02 1.318823424702767188e+14
