L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
1.309358711864632395e-03 1.490389291843010819e-02 3.422685657003739381e-05 8.639695754583428915e-04 1.027351626483830873e-03 6.140944583189029152e-08 1.342813781871368206e-03 9.087328829663532238e-06 3.148000000000000000e+03 5.346922543496392816e-02 0.000000000000000000e+00
8.742653894503238702e-05 2.020968392905885935e-03 5.531159886755055382e-06 1.861311385971722832e-04 2.272410755093045263e-04 6.051305467405981189e-10 2.937926605118751431e-04 4.759059588500744637e-07 1.219600000000000000e+04 2.716517748562517071e-02 1.000000000000000000e+00
5.427202730671674948e-06 2.547795846300083124e-04 7.266130739544519150e-07 2.449472379773964538e-05 2.847187583135550500e-05 4.590046948401619749e-12 3.756551455055049369e-05 2.663840609399924020e-08 4.800400000000000000e+04 1.369249342895496185e-02 2.000000000000000000e+00
