ndof h L2-error-u-uh-B 
6.800000000000000000e+02 3.834824944236851774e-02 1.897013369725769039e+01
2.184000000000000000e+03 2.139802462554564466e-02 7.233295840788109388e+00
5.472000000000000000e+03 1.351845176089687926e-02 2.127606557729856185e+00
2.150400000000000000e+04 6.819309069874762187e-03 5.833942202112052389e-01
8.115200000000000000e+04 3.510349726885814842e-03 1.566678984461929991e-01
