ndof L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
6.880000000000000000e+02 9.889965982150134005e-01 1.731926827156499149e+00
2.548000000000000000e+03 6.184931654704985959e-01 1.662465478386706330e+00
9.796000000000000000e+03 3.350032676039472190e-01 1.279654774849019905e+00
3.840400000000000000e+04 1.791066658657777810e-01 8.619461939180746990e-01
1.520680000000000000e+05 8.792318204324908737e-02 5.522819257926726566e-01
6.051880000000000000e+05 3.994651679888116397e-02 3.929678676422504457e-01
