ndof h L2-error-u-uh-B 
6.800000000000000000e+02 3.834824944236851774e-02 1.626670971068550964e+00
1.936000000000000000e+03 2.272727272727272790e-02 1.098746014904227852e+00
5.616000000000000000e+03 1.334401281709059542e-02 9.597300480556317792e-01
2.156000000000000000e+04 6.810447066039945069e-03 3.977840896998500742e-01
8.085600000000000000e+04 3.516769252321990877e-03 2.680108785108409331e-01
3.126720000000000000e+05 1.788362292399178159e-03 2.890104646402103517e-01
