ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm cond 
7.200000000000000000e+02 3.726779962499649629e-02 1.307910421768809506e-01 6.721177039063669367e-01 1.295723454570194000e-01 1.333965639256418217e+06
2.640000000000000000e+03 1.946247360403807400e-02 6.452909458402862619e-02 5.162589414404050725e-01 5.765433269930358984e-02 1.592590297618242539e+07
1.010400000000000000e+04 9.948402116491736683e-03 3.681270180889256033e-02 4.138614274632394507e-01 2.612568365923572181e-02 1.382137300942761302e+08
3.952800000000000000e+04 5.029763669028806776e-03 2.393354109930858828e-02 3.314809423990870973e-01 1.213245553281690377e-02 9.146969510353795290e+08
1.563600000000000000e+05 2.528932100652551192e-03 1.581923335335427838e-02 2.686734505152308383e-01 5.773135311017927110e-03 8.619393644855651855e+09
6.219600000000000000e+05 1.267998595666972993e-03 1.063255725659528229e-02 2.262142125049119157e-01 2.791875520885784244e-03 9.228163931994224548e+10
