L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
7.067511094336735578e-02 9.212608968707282353e-02 1.702147713145607977e+00 9.483714079863419936e-05 2.596344911367878122e-02 2.867549947736606694e-02 2.420163251601205781e-05 3.919994084662273282e-02 6.343565434471445594e-03 6.296000000000000000e+03 5.346922543496392816e-02 0.000000000000000000e+00
1.470507908299869756e-02 1.776828794157673044e-02 3.282919179259797815e-01 1.162745763506684595e-05 3.603581058493608193e-03 2.685623892281666352e-03 7.928200499562637160e-07 4.514312952361033277e-03 4.248687674939888932e-04 2.439200000000000000e+04 2.716517748562517071e-02 1.000000000000000000e+00
1.737326270295092272e-03 2.288972240604010035e-03 4.229169908873856715e-02 1.499031065311667992e-06 4.169838373503705758e-04 2.434111033037800447e-04 1.317693016982991434e-08 4.836414712979270492e-04 2.797033550841922556e-05 9.600800000000000000e+04 1.369249342895496185e-02 2.000000000000000000e+00
3.040505989608628321e-04 4.132918804888964580e-04 7.636097780217400779e-03 1.859484814534826097e-07 7.269310433987181551e-05 4.158914106245607275e-05 3.466762577230558824e-10 8.376727322630400793e-05 1.725518453094341638e-06 3.809360000000000000e+05 6.874011335266258516e-03 3.000000000000000000e+00
