gamma-Jump l2-order1 s-order1 l2-order2 s-order2 l2-order3 s-order3 
9.999999999999999988e-15 3.504323613324101389e-02 5.036868109580831723e-04 1.530688811375180945e-02 3.031449240271240066e-06 9.615923612254280439e-02 4.825845593643861221e-06
1.000000000000000030e-13 3.504268423512390401e-02 5.036863666937165581e-04 1.529474051225899849e-02 3.027497557276260805e-06 4.966329592200821597e-02 9.129631689598595516e-06
9.999999999999999799e-13 3.503753823330839345e-02 5.036821637648463898e-04 1.522379888616032240e-02 3.014031575910115454e-06 5.229044216522832356e-02 2.593636046805487390e-05
9.999999999999999395e-12 3.500497846623094877e-02 5.036524485622720110e-04 1.495571115441201270e-02 2.975233304749496271e-06 5.750238869213276233e-02 1.077239426319982264e-04
1.000000000000000036e-10 3.487349284567040075e-02 5.034943561883030829e-04 1.412429211454219180e-02 2.869599266750655108e-06 2.940338079687715434e-02 1.319249450039998905e-04
1.000000000000000062e-09 3.413727691822415755e-02 5.025527981562624051e-04 1.193866623641952514e-02 2.628520018631933901e-06 1.430003179647965257e-02 3.554369669579162338e-04
1.000000000000000021e-08 3.154665568866549252e-02 5.000095257804351842e-04 9.563198454391540204e-03 2.514859590577594734e-06 4.252454784498355296e-03 1.952580389734204854e-04
9.999999999999999547e-08 2.843415800275262903e-02 5.109793209523028762e-04 9.336617457789511340e-03 3.825846935912563197e-06 7.224318254501058871e-04 1.209366619668050293e-04
9.999999999999999547e-07 3.888478207899605937e-02 7.140745506154120778e-04 1.321616727845779417e-02 1.088388197668815915e-05 1.865907665923228923e-04 9.619205530106951312e-05
1.000000000000000082e-05 6.816580638093652778e-02 1.949987129189581156e-03 1.968271799053271376e-02 3.701978794318032655e-05 4.902274559006583512e-04 5.814695599997480018e-04
1.000000000000000048e-04 8.543667305574512150e-02 6.353860945144737017e-03 2.477857174894858294e-02 1.298320623044170235e-04 1.090547769392358939e-03 3.287652036802164897e-03
1.000000000000000021e-03 1.558771833333871260e-01 2.111795744626094110e-02 4.489596111633445408e-02 4.801917266006720830e-04 2.633998222293685437e-03 2.251247100105603638e-02
1.000000000000000021e-02 2.795481636638478262e-01 7.036905429965986669e-02 8.116484174228445758e-02 1.746758831457538835e-03 3.981374015642771998e-03 1.001624149868023672e-01
1.000000000000000056e-01 4.275610859027901278e-01 2.326694273212513431e-01 1.153777158338512021e-01 6.038565452189082264e-03 6.096950236141455634e-03 4.478473569790650810e-01
1.000000000000000000e+00 1.140501625631375360e+00 7.747673844503106810e-01 9.566299821354393162e-02 2.002719089750750261e-02 1.020385584294668940e-02 2.185584396594050016e+00
1.000000000000000000e+01 6.241478637347912084e+00 2.824668194317107250e+00 9.366953907405331514e-02 6.530942077043533356e-02 2.024850179380512788e-02 1.199052331553669326e+01
