k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.415666691155568091e-01 1.019746115657686747e-01
2.000000000000000000e+00 9.418632287613519782e-01 1.636670953656018390e-01
3.000000000000000000e+00 1.471013402601692110e+00 2.684193948063476332e-01
4.000000000000000000e+00 2.026215044004645804e+00 3.641576442028583993e-01
5.000000000000000000e+00 2.498838243686821947e+00 5.039598061448704591e-01
6.000000000000000000e+00 3.108747219023989317e+00 5.686516091901649972e-01
7.000000000000000000e+00 3.426790099803512568e+00 9.463273430384526730e-01
8.000000000000000000e+00 3.922110761208266183e+00 1.149242508201769208e+00
9.000000000000000000e+00 4.482467197314139895e+00 8.740873521168869287e-01
1.000000000000000000e+01 4.990478015990467142e+00 9.331220873921568515e-01
