k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 5.417429225972636431e-01 3.008500148857397583e-01
2.000000000000000000e+00 1.166356927625957551e+00 4.969340117814111113e-01
3.000000000000000000e+00 1.859602442054829829e+00 8.140750394818894176e-01
4.000000000000000000e+00 2.353180985418307447e+00 9.973149359867279351e-01
5.000000000000000000e+00 2.899799169602733429e+00 1.393212819700401006e+00
6.000000000000000000e+00 3.700613701612719186e+00 1.569236711388044103e+00
7.000000000000000000e+00 3.990387535431622723e+00 2.200742360356714222e+00
8.000000000000000000e+00 4.637026695572548540e+00 2.725346361361956404e+00
9.000000000000000000e+00 5.243237937255381453e+00 2.262830648017685853e+00
1.000000000000000000e+01 5.863697990780645242e+00 1.762496401318555783e+00
