ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.264000000000000000e+03 4.134883848149784741e-02 1.813660597907954974e+00 8.982533608990939111e-02 2.061928581418012385e+00
1.520000000000000000e+04 2.433321316961438094e-02 7.006284993765085067e-01 5.924127247128965074e-02 7.961115093961160794e-01
5.208800000000000000e+04 1.314475250840204182e-02 6.549181719012784342e-01 1.969792405907670393e-02 7.446992246889756473e-01
1.896320000000000000e+05 6.889146844544462647e-03 3.438831964886606696e-01 8.513774444758519938e-03 3.910381948725024093e-01
