ndof h L2-error-u-uh-B 
5.456000000000000000e+03 4.061477708054117564e-02 4.258099006702714462e+00
1.844000000000000000e+04 2.209229309774570979e-02 1.537645483890687226e-01
4.697600000000000000e+04 1.384150257235429275e-02 8.590854669277859026e-03
