gamma-Jump l2-order1 s-order1 l2-order2 s-order2 l2-order3 s-order3 
9.999999999999999988e-15 5.881921167930352912e-01 2.456520181077722492e-02 6.994674793567891014e-01 1.661109919547903990e-03 2.900059578439326824e-01 5.384454324451257157e-02
1.000000000000000030e-13 5.881921147808792938e-01 2.456520180789370511e-02 6.994751348119730983e-01 1.661110235723927070e-03 2.900059578439326824e-01 5.384454324451257157e-02
9.999999999999999799e-13 5.881921143016505260e-01 2.456520180846119561e-02 6.994675408685385731e-01 1.661109930527271579e-03 2.900059578439326824e-01 5.384454324451257157e-02
9.999999999999999395e-12 5.881921154127803808e-01 2.456520180871777509e-02 6.994717120819886613e-01 1.661110045722654976e-03 2.900059578439326824e-01 5.384454324451257157e-02
1.000000000000000036e-10 5.881921139114045793e-01 2.456520180744256251e-02 6.994704178392070482e-01 1.661110032237030467e-03 2.906795503819500359e-01 5.395118651113968433e-02
1.000000000000000062e-09 5.881921069475785080e-01 2.456520179961524386e-02 6.994749831760630476e-01 1.661110283521738352e-03 2.902828351588115918e-01 5.386337831020876488e-02
1.000000000000000021e-08 5.881920359968962897e-01 2.456520172019532183e-02 6.994687898185995012e-01 1.661109980806036671e-03 2.899091384914580516e-01 5.388476674836473190e-02
9.999999999999999547e-08 5.881913042932948033e-01 2.456520088823017228e-02 6.994698458462920154e-01 1.661110006253874952e-03 2.880282645212585702e-01 5.366094768686589106e-02
9.999999999999999547e-07 5.881840142563757867e-01 2.456519261282837097e-02 6.994576294961856178e-01 1.661109680155921191e-03 2.902031604433732426e-01 5.390225663955069274e-02
1.000000000000000082e-05 5.881111443518961535e-01 2.456510987667730878e-02 6.993572711715246859e-01 1.661107223222588409e-03 2.913642453800563970e-01 5.402332934401382625e-02
1.000000000000000048e-04 5.873851366645245209e-01 2.456428382271707428e-02 6.982988927499188536e-01 1.661080385194709788e-03 2.904674507985648968e-01 5.387183044722680669e-02
1.000000000000000021e-03 5.803818681243595456e-01 2.455614915401077916e-02 6.880356423044485803e-01 1.660820719846716875e-03 2.885406200806285848e-01 5.370865747418648861e-02
1.000000000000000021e-02 5.277268776667627392e-01 2.448414962846876333e-02 6.027925003260750092e-01 1.658585980438103281e-03 2.817728738409201461e-01 5.246378944032640407e-02
1.000000000000000056e-01 3.449254731665157281e-01 2.402913117607933385e-02 3.203815193593483879e-01 1.648498532902565369e-03 2.408224704212204581e-01 4.551752088082713227e-02
1.000000000000000000e+00 1.263153849800607020e-01 2.251154645904842114e-02 1.315588706621403092e-01 1.619202731810513154e-03 1.646195609249086755e-01 3.310698664581851469e-02
1.000000000000000000e+01 1.290666436978520071e-01 2.992963966510268567e-02 7.553917860679115748e-02 1.637588647687605306e-03 8.103569854251424509e-02 2.561952576969285175e-02
