k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.350330332882823003e-01 3.723225084835427023e-02
2.000000000000000000e+00 9.275756404388144638e-01 6.930487430756765432e-02
3.000000000000000000e+00 1.453015767649948886e+00 1.147985296541753214e-01
4.000000000000000000e+00 2.006570065299771333e+00 1.614517861326898729e-01
5.000000000000000000e+00 2.476214418098093173e+00 1.956718308838936715e-01
6.000000000000000000e+00 2.977453825777923058e+00 2.335568209394307537e-01
7.000000000000000000e+00 3.489239833665192858e+00 2.747365172616488271e-01
8.000000000000000000e+00 3.975794858376887397e+00 3.119409936182068743e-01
9.000000000000000000e+00 4.479227183529841838e+00 3.512704114265958188e-01
1.000000000000000000e+01 4.979060740980596478e+00 3.888389966991193658e-01
