ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.768000000000000000e+03 3.950104898622924798e-02 3.968816654741051669e-05 4.412786697863428290e-05
2.240000000000000000e+04 2.004459314343182835e-02 2.509610875184214666e-06 2.765305618712780624e-06
8.828000000000000000e+04 1.009694736894637887e-02 1.548886758078181446e-07 1.691648565978311427e-07
3.505040000000000000e+05 5.067278400416535579e-03 9.587201183445536495e-09 1.036724716283430740e-08
