L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
9.992276229090598511e-03 3.621658875083818424e-02 4.911114266954401120e-01 3.970802269422151198e-01 3.002454297056673216e+00 1.730955792463049584e-06 3.068159403057118428e+00 2.678916091249250713e-03 6.944000000000000000e+03 5.091331749765980186e-02 0.000000000000000000e+00
5.933689803569481159e-04 4.256950384008500142e-03 5.825753356277833805e-02 5.270481949217793033e-02 3.546948641436076244e-01 1.379747689667800218e-08 3.632908105887541206e-01 1.679102744325588277e-04 2.698400000000000000e+04 2.582754271402004989e-02 1.000000000000000000e+00
3.467199320425388092e-05 4.957646459632755916e-04 6.897074716516765625e-03 6.320811907948921740e-03 4.083636911109866929e-02 1.060232331723577482e-10 4.189428888772468024e-02 9.818826545688520853e-06 1.063760000000000000e+05 1.300811670643280647e-02 2.000000000000000000e+00
