ndof L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
6.880000000000000000e+02 2.449658310524059357e-01 5.040461412305122790e-01
2.548000000000000000e+03 1.183343895051819777e-01 6.568412012384847731e-01
9.796000000000000000e+03 7.129813233381265825e-02 5.960102189208716927e-01
3.840400000000000000e+04 5.526238729496687346e-02 5.217408986389342473e-01
1.520680000000000000e+05 4.196756594085966630e-02 4.307672380001383305e-01
6.051880000000000000e+05 2.891653846985413334e-02 3.382703959130042293e-01
