ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm 
2.616000000000000000e+03 3.910309435028875430e-02 7.796427924870982240e-01 5.159887711026025059e+00 2.164361319370917247e+00
1.002400000000000000e+04 1.997604311378104944e-02 2.007250098638332925e-01 1.993877549621862144e+00 3.986152108794128179e-01
3.924000000000000000e+04 1.009637554692304449e-02 5.966190473756399076e-02 6.611434767632673459e-01 7.742387130808150997e-02
1.552720000000000000e+05 5.075553643037174732e-03 1.009414595828366651e-02 3.823523733182224160e-01 1.526666283817659613e-02
6.177360000000000000e+05 2.544652832712717035e-03 4.279812832809509748e-03 3.696471415098869784e-01 3.283418909240237542e-03
