ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.768000000000000000e+03 3.950104898622924798e-02 3.984405932775123699e-02 3.932683932178812625e-02 3.991350611448953034e-02
2.240000000000000000e+04 2.004459314343182835e-02 3.142970692984099063e-02 3.678331715299503618e-03 3.346063331160891580e-02
8.828000000000000000e+04 1.009694736894637887e-02 7.314135123390165527e-03 4.056305069964824799e-04 7.791693822391263305e-03
3.505040000000000000e+05 5.067278400416535579e-03 1.264202479479554662e-03 3.086049977693510024e-05 1.346944521704327184e-03
