ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.768000000000000000e+03 3.950104898622924798e-02 7.378130190043180950e-03 8.853561989020961726e-03
2.240000000000000000e+04 2.004459314343182835e-02 5.189644369108533219e-04 5.096722976421527544e-04
8.828000000000000000e+04 1.009694736894637887e-02 3.192199631748092453e-05 3.089348824742438738e-05
3.505040000000000000e+05 5.067278400416535579e-03 1.968071519152342235e-06 1.902660885591564951e-06
