ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
7.200000000000000000e+02 3.726779962499649629e-02 5.900337879821306863e-01 7.565045433897608085e-01 5.720809246875333542e-01
2.640000000000000000e+03 1.946247360403807400e-02 2.954338195880013562e-01 2.703250029834365908e-01 2.976630655504028944e-01
1.010400000000000000e+04 9.948402116491736683e-03 1.746053618022570530e-01 7.974908704954872252e-02 1.809216059134972909e-01
3.952800000000000000e+04 5.029763669028806776e-03 1.268292457645049665e-01 3.678941155399060442e-02 1.321243153939208326e-01
1.563600000000000000e+05 2.528932100652551192e-03 9.973725466597981038e-02 2.414380682943069803e-02 1.040149785324480936e-01
6.219600000000000000e+05 1.267998595666972993e-03 8.243360862528055499e-02 1.425907206777864492e-02 8.607460931707348883e-02
