ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
2.616000000000000000e+03 3.910309435028875430e-02 3.325221746718769467e-01 6.070382052877792978e-02 3.577918777077593315e-01
1.002400000000000000e+04 1.997604311378104944e-02 1.499641913627374479e-01 8.365155066132050343e-03 1.617038390101218082e-01
3.924000000000000000e+04 1.009637554692304449e-02 1.319548826213893522e-01 2.372656224795328950e-03 1.423125475861149458e-01
1.552720000000000000e+05 5.075553643037174732e-03 1.215369553786170148e-01 9.747025687780165809e-04 1.310792572908257847e-01
6.177360000000000000e+05 2.544652832712717035e-03 1.107836919695239508e-01 3.517447619257050629e-04 1.194821712411175824e-01
