ndof h L2-error-u-uh-B 
8.240000000000000000e+02 3.483665071458088430e-02 1.954045310032581284e+01
2.008000000000000000e+03 2.231609213387258928e-02 1.336357207264769897e+01
5.944000000000000000e+03 1.297061592691546757e-02 6.386599555379371296e+00
2.167200000000000000e+04 6.792826216160186177e-03 5.701449266549134087e+00
8.198400000000000000e+04 3.492492226419453751e-03 3.845935444922026658e+00
