ndof L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.584000000000000000e+03 2.545760864171028783e-03 1.382629751995807232e-01
2.174800000000000000e+04 4.068162144355303160e-04 8.648474418337122327e-02
8.582800000000000000e+04 6.043416717599349837e-05 6.393815214471226804e-02
3.409960000000000000e+05 1.553134330658708111e-05 4.312541434344192154e-02
