ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
2.416000000000000000e+03 4.068942293855797032e-02 1.080658273594354846e+00 1.984257495508587876e-01 1.373921389357656286e+00
6.888000000000000000e+03 2.409813463559399432e-02 1.598068596995881663e+00 2.824547541995963140e-01 2.032736294774639241e+00
2.340800000000000000e+04 1.307217464040005134e-02 4.649859187207998068e-01 5.943902467835319309e-02 5.931946894000171833e-01
8.478400000000000000e+04 6.868676216325117316e-03 4.741949450770834296e-01 4.814120954397647228e-02 6.056577956246508299e-01
3.219680000000000000e+05 3.524712029573164821e-03 1.900309830990051796e-01 1.726779197319796427e-02 2.428112345208697509e-01
